DAUID,DGUID,LANDAREA,PRUID,X,Y
35200002,2021S051235200002,0.0504,35,644437.117773923,4853726.500618570
35200003,2021S051235200003,0.0468,35,644554.015410459,4853524.388907790
35200004,2021S051235200004,0.0488,35,644383.371772069,4853469.399098730
35200005,2021S051235200005,0.0443,35,644481.281224944,4853272.425919020
35200006,2021S051235200006,0.0572,35,644632.087733757,4853230.466097890
35200007,2021S051235200007,0.0774,35,644663.580968987,4853001.139939330
35200009,2021S051235200009,0.0638,35,643952.379315708,4852831.549637740
35200010,2021S051235200010,0.0363,35,643986.489535410,4852759.651175940
35200012,2021S051235200012,0.0474,35,643797.896909843,4852438.162904430
35200013,2021S051235200013,0.0073,35,643810.144996223,4852509.433359700
35200018,2021S051235200018,0.1762,35,643370.564796884,4852201.573499750
35200028,2021S051235200028,0.124,35,643786.950583775,4852060.960721470
35200029,2021S051235200029,0.0442,35,643803.327082546,4852275.282794830
35200030,2021S051235200030,0.0958,35,644082.347210906,4851784.308638070
35200031,2021S051235200031,0.2317,35,644318.028107840,4851831.340073540
35200032,2021S051235200032,0.2318,35,644521.509690722,4851715.933595360
35200033,2021S051235200033,0.0978,35,644604.080365286,4851290.204964530
35200034,2021S051235200034,0.6177,35,644244.974530255,4850892.973619970
35200035,2021S051235200035,0.1136,35,644012.375759895,4851073.473362250
35200036,2021S051235200036,0.0402,35,643672.253044550,4850919.444759010
35200037,2021S051235200037,0.2389,35,643813.241384161,4851383.750412000
35200039,2021S051235200039,0.0618,35,643639.307661557,4851247.663893760
35200041,2021S051235200041,0.2221,35,643040.054765983,4851064.541155240
35200042,2021S051235200042,0.1543,35,643057.408109251,4850770.215461930
35200043,2021S051235200043,0.7901,35,642667.665096801,4850226.913843890
35200044,2021S051235200044,0.0282,35,642385.332305248,4850554.004360920
35200046,2021S051235200046,0.0928,35,642146.599210106,4850749.933188000
35200047,2021S051235200047,0.0562,35,641781.704385431,4850610.378030460
35200048,2021S051235200048,0.0954,35,641748.524553787,4850860.524545420
35200049,2021S051235200049,0.0799,35,641822.828346765,4850953.664677590
35200050,2021S051235200050,0.5629,35,641997.884944664,4851396.109132710
35200051,2021S051235200051,0.0667,35,642201.532397804,4851359.874740700
35200052,2021S051235200052,0.1675,35,642581.090152472,4851499.342288270
35200053,2021S051235200053,0.0492,35,642440.572811674,4851154.468274230
35200054,2021S051235200054,0.1087,35,642470.497574102,4850997.633807140
35200055,2021S051235200055,0.0983,35,642729.427970420,4851133.244009590
35200056,2021S051235200056,0.8613,35,641695.826446474,4852081.894723410
35200057,2021S051235200057,0.0246,35,642316.586524327,4852197.706411590
35200058,2021S051235200058,0.0242,35,642383.273793286,4852120.957978110
35200062,2021S051235200062,0.1399,35,642007.134075150,4852619.311455240
35200064,2021S051235200064,0.1431,35,639920.502406501,4851723.278141630
35200065,2021S051235200065,0.0614,35,640043.072048815,4851947.342019650
35200066,2021S051235200066,0.0812,35,639941.180616022,4852058.411083040
35200067,2021S051235200067,0.1021,35,639911.859828836,4852383.909684780
35200068,2021S051235200068,0.056,35,639885.599763741,4852371.400866160
35200069,2021S051235200069,0.1313,35,639606.843874743,4852478.814892780
35200070,2021S051235200070,0.0714,35,639593.262012965,4852786.820120120
35200071,2021S051235200071,0.0527,35,639288.288675912,4852715.075212310
35200072,2021S051235200072,0.117,35,639238.295786578,4852930.357084920
35200073,2021S051235200073,0.0551,35,639271.848260128,4852540.501052760
35200074,2021S051235200074,0.0569,35,639069.514123090,4852499.649074880
35200078,2021S051235200078,0.1664,35,638888.521950707,4851653.550076930
35200079,2021S051235200079,0.1,35,639294.219042200,4851822.156294810
35200080,2021S051235200080,0.2301,35,639425.915682527,4851398.451169500
35200082,2021S051235200082,0.0505,35,639850.813483728,4851327.031631750
35200085,2021S051235200085,0.0824,35,638964.150145730,4851445.802215830
35200086,2021S051235200086,0.1155,35,639000.216811672,4851137.801168570
35200087,2021S051235200087,0.1823,35,638553.611951498,4851017.031166390
35200088,2021S051235200088,0.1097,35,638366.225697363,4851285.667945220
35200089,2021S051235200089,0.1578,35,638515.284080998,4851488.189297090
35200090,2021S051235200090,0.1323,35,638059.424110481,4851348.546568670
35200091,2021S051235200091,0.068,35,638140.203347520,4850982.976772840
35200092,2021S051235200092,0.1815,35,637777.201789908,4850954.975396230
35200093,2021S051235200093,0.1428,35,637756.481786243,4851220.609601360
35200094,2021S051235200094,2.1919,35,636958.598899256,4852569.517516520
35200095,2021S051235200095,0.0744,35,637883.008350729,4851681.297162660
35200096,2021S051235200096,0.028,35,637858.401100427,4851867.984220770
35200097,2021S051235200097,0.0328,35,638024.972041723,4851725.280641520
35200099,2021S051235200099,0.0354,35,638276.911988903,4851798.484366540
35200100,2021S051235200100,0.0824,35,638373.233277919,4851890.841961560
35200101,2021S051235200101,0.1692,35,638104.291436633,4852490.645402200
35200102,2021S051235200102,0.2682,35,638645.290901714,4852707.333606180
35200103,2021S051235200103,0.057,35,638819.403594873,4852657.610556290
35200104,2021S051235200104,0.2035,35,638696.196967933,4853139.445515330
35200105,2021S051235200105,0.1864,35,638279.957336735,4853132.834061810
35200106,2021S051235200106,0.2717,35,638393.420717424,4853460.941460350
35200107,2021S051235200107,0.0403,35,638030.973107908,4853584.839295550
35200108,2021S051235200108,0.0671,35,637982.365771306,4853798.138690950
35200109,2021S051235200109,0.1668,35,638238.124673261,4853973.126531160
35200110,2021S051235200110,0.0868,35,637968.303404940,4854164.714837290
35200111,2021S051235200111,0.059,35,637971.349162696,4854154.870871450
