DAUID,Population,Population 15 to 64,Pop_65plus,Pop15plus
35200002,333,215,65,280
35200003,314,190,85,275
35200004,346,230,75,305
35200005,412,275,70,345
35200006,520,345,95,440
35200007,644,395,150,545
35200009,313,225,55,280
35200010,275,195,30,225
35200012,508,385,65,450
35200013,71,50,10,60
35200018,772,360,315,675
35200028,1192,800,165,965
35200029,365,250,55,305
35200030,507,335,100,435
35200031,1139,755,215,970
35200032,702,480,130,610
35200033,447,315,65,380
35200034,817,575,140,715
35200035,651,450,120,570
35200036,283,210,50,260
35200037,1256,885,195,1080
35200039,285,180,70,250
35200041,845,605,140,745
35200042,682,465,110,575
35200043,595,400,100,500
35200044,235,155,45,200
35200046,790,525,145,670
35200047,952,635,90,725
35200048,977,625,115,740
35200049,788,520,135,655
35200050,971,660,150,810
35200051,464,310,95,405
35200052,370,265,50,315
35200053,286,190,60,250
35200054,360,260,65,325
35200055,461,325,95,420
35200056,280,200,45,245
35200057,242,170,35,205
35200058,249,185,30,215
35200062,718,490,135,625
35200064,645,420,140,560
35200065,391,245,100,345
35200066,474,300,125,425
35200067,623,380,150,530
35200068,470,320,110,430
35200069,676,455,135,590
35200070,532,345,125,470
35200071,387,250,85,335
35200072,344,220,80,300
35200073,348,220,95,315
35200074,232,155,60,215
35200078,680,455,155,610
35200079,1170,715,345,1060
35200080,443,250,135,385
35200082,328,210,85,295
35200085,335,220,95,315
35200086,527,340,110,450
35200087,595,400,105,505
35200088,439,265,120,385
35200089,572,375,145,520
35200090,566,365,135,500
35200091,510,360,85,445
35200092,712,485,120,605
35200093,638,430,135,565
35200094,428,35,395,430
35200095,481,325,105,430
35200096,221,140,55,195
35200097,247,175,50,225
35200099,227,170,40,210
35200100,351,235,65,300
35200101,991,670,215,885
35200102,874,580,175,755
35200103,256,145,70,215
35200104,954,580,260,840
35200105,1193,780,245,1025
35200106,1252,855,190,1045
35200107,213,140,40,180
35200108,436,280,115,395
35200109,503,300,140,440
35200110,544,345,125,470
35200111,456,285,120,405
35200112,894,615,160,775
35200114,962,600,235,835
35200115,811,545,150,695
35200116,484,325,115,440
35200117,810,550,140,690
35200118,485,320,100,420
35200119,257,175,50,225
35200120,970,455,415,870
35200121,460,295,100,395
35200123,920,615,185,800
35200124,774,500,180,680
35200125,617,415,120,535
35200126,459,300,90,390
35200127,716,460,145,605
35200128,664,430,155,585
35200133,1042,645,220,865
35200134,652,405,175,580
35200135,451,310,80,390
35200136,436,305,65,370
35200137,546,380,105,485
35200138,281,190,40,230
35200139,366,270,60,330
35200140,370,245,80,325
35200141,546,325,150,475
35200142,427,275,100,375
35200143,703,435,205,640
35200144,511,355,90,445
35200145,469,310,100,410
35200146,482,300,110,410
35200147,457,310,95,405
35200148,392,265,80,345
35200149,374,250,85,335
35200150,1363,920,125,1045
35200161,588,400,115,515
35200162,704,520,115,635
35200163,678,430,155,585
35200164,230,135,70,205
35200165,467,325,90,415
35200166,844,535,195,730
35200167,1259,810,290,1100
35200173,365,240,90,330
35200174,583,370,145,515
35200175,628,365,200,565
35200176,400,250,100,350
35200177,337,220,95,315
35200178,540,330,140,470
35200179,619,65,550,615
35200180,555,380,100,480
35200181,338,225,70,295
35200182,375,260,75,335
35200183,440,255,125,380
35200186,573,410,105,515
35200187,453,325,95,420
35200188,795,580,105,685
35200189,460,290,125,415
35200190,368,220,120,340
35200193,400,240,115,355
35200196,542,335,155,490
35200197,397,255,85,340
35200198,428,290,80,370
35200199,700,420,180,600
35200200,482,330,110,440
35200201,567,375,120,495
35200202,550,345,135,480
35200203,1348,975,175,1150
35200204,649,455,105,560
35200205,495,325,110,435
35200206,458,290,110,400
35200207,249,140,60,200
35200208,470,300,120,420
35200209,371,250,75,325
35200210,513,355,90,445
35200211,439,290,80,370
35200212,397,255,85,340
35200213,551,335,175,510
35200214,614,385,160,545
35200215,403,255,105,360
35200216,627,435,135,570
35200217,440,295,85,380
35200218,603,420,100,520
35200219,459,300,90,390
35200220,455,295,105,400
35200221,5506,4345,505,4850
35200222,858,520,225,745
35200223,378,250,80,330
35200224,798,540,175,715
35200232,646,430,145,575
35200233,382,260,70,330
35200234,442,295,95,390
35200235,422,255,95,350
35200236,399,255,85,340
35200237,394,255,95,350
35200238,324,240,55,295
35200239,261,180,45,225
35200242,436,290,90,380
35200243,417,250,135,385
35200244,387,250,85,335
35200245,704,485,130,615
35200246,406,280,100,380
35200249,514,305,160,465
35200250,406,255,110,365
35200251,281,185,65,250
35200252,550,325,160,485
35200253,695,475,90,565
35200254,776,515,150,665
35200255,503,325,110,435
35200256,608,355,190,545
35200260,457,295,135,430
35200261,501,325,125,450
35200262,482,315,115,430
35200263,311,185,85,270
35200264,489,310,110,420
35200265,440,265,120,385
35200266,587,350,170,520
35200267,1146,745,270,1015
35200268,578,375,130,505
35200269,723,455,150,605
35200271,2077,1575,155,1730
35200272,2410,1755,155,1910
35200273,3230,2595,195,2790
35200275,431,255,110,365
35200278,391,235,100,335
35200279,579,365,125,490
35200280,807,610,85,695
35200281,502,360,55,415
35200284,886,620,105,725
35200288,398,250,95,345
35200289,613,375,140,515
35200290,516,325,135,460
35200291,584,345,155,500
35200292,500,340,75,415
35200293,2032,1175,640,1815
35200294,452,260,135,395
35200297,393,240,90,330
35200298,1045,700,190,890
35200300,1222,895,125,1020
35200301,412,275,95,370
35200302,855,535,200,735
35200303,213,145,50,195
35200304,679,445,160,605
35200305,615,440,105,545
35200306,568,390,110,500
35200307,257,145,75,220
35200308,553,340,160,500
35200309,1454,1145,180,1325
35200310,585,440,75,515
35200313,0,NA,NA,NA
35200315,939,350,540,890
35200316,1533,955,370,1325
35200317,484,290,110,400
35200318,403,265,85,350
35200319,473,320,100,420
35200320,867,595,145,740
35200321,642,425,160,585
35200322,346,240,70,310
35200323,1100,710,150,860
35200324,906,600,185,785
35200325,331,210,60,270
35200326,620,400,140,540
35200327,303,210,55,265
35200328,342,205,110,315
35200329,405,245,105,350
35200330,458,280,145,425
35200331,427,300,85,385
35200332,440,260,135,395
35200333,475,315,105,420
35200334,479,310,110,420
35200335,495,355,75,430
35200336,493,330,90,420
35200337,457,290,95,385
35200338,459,320,75,395
35200339,679,450,50,500
35200352,1281,950,240,1190
35200355,542,365,80,445
35200357,537,355,95,450
35200358,525,365,95,460
35200359,456,290,90,380
35200360,456,285,100,385
35200361,401,245,75,320
35200362,573,370,105,475
35200363,483,320,95,415
35200364,1498,1130,185,1315
35200366,673,480,75,555
35200368,339,235,60,295
35200370,446,275,110,385
35200371,501,315,125,440
35200372,365,255,75,330
35200373,300,200,65,265
35200374,601,310,220,530
35200375,304,200,65,265
35200376,477,300,120,420
35200377,486,295,115,410
35200378,276,170,75,245
35200379,491,305,120,425
35200380,570,370,115,485
35200381,1032,690,190,880
35200382,879,605,140,745
35200383,571,380,105,485
35200384,508,290,160,450
35200385,318,190,90,280
35200386,726,460,175,635
35200387,451,275,105,380
35200388,725,495,120,615
35200389,854,565,165,730
35200391,452,300,90,390
35200392,333,190,105,295
35200393,804,470,250,720
35200394,577,360,125,485
35200395,482,310,110,420
35200396,455,290,115,405
35200397,881,560,205,765
35200400,305,190,70,260
35200401,421,255,105,360
35200402,457,315,80,395
35200404,470,290,135,425
35200405,488,350,50,400
35200406,375,245,70,315
35200407,396,245,100,345
35200408,479,325,115,440
35200409,333,215,80,295
35200410,1017,755,110,865
35200411,778,555,115,670
35200412,1655,1195,155,1350
35200413,791,580,90,670
35200414,1246,910,65,975
35200415,311,195,65,260
35200416,446,265,110,375
35200417,1051,700,185,885
35200418,1052,730,125,855
35200420,795,540,160,700
35200421,344,230,85,315
35200422,576,420,95,515
35200423,574,330,190,520
35200426,498,335,80,415
35200427,483,335,100,435
35200428,515,360,65,425
35200429,543,375,65,440
35200430,594,395,95,490
35200431,606,410,120,530
35200432,399,275,65,340
35200433,439,290,90,380
35200434,425,300,50,350
35200435,448,330,50,380
35200436,657,410,155,565
35200437,438,275,95,370
35200438,570,395,105,500
35200439,384,250,80,330
35200440,437,280,100,380
35200442,516,360,60,420
35200443,483,355,75,430
35200444,561,240,285,525
35200445,353,250,75,325
35200449,477,295,80,375
35200450,449,260,95,355
35200451,321,215,55,270
35200452,606,365,155,520
35200453,662,405,175,580
35200454,698,490,125,615
35200455,414,255,100,355
35200456,861,620,135,755
35200459,332,210,70,280
35200460,503,360,40,400
35200463,539,285,190,475
35200464,666,430,125,555
35200465,628,415,145,560
35200466,542,370,95,465
35200467,577,370,140,510
35200468,597,415,95,510
35200469,490,365,60,425
35200470,579,400,65,465
35200471,1430,1050,135,1185
35200472,659,450,115,565
